time,X_value,Y_value,Z_value
Started:,Oct 18 2018,18:37:52:472, 
0.0228,-0.76856,9.92188,1.25221
0.0386,-0.37351,9.62020,0.80687
0.0582,-0.39506,9.88836,2.03513
0.0807,-1.26178,9.56752,0.69434
0.0985,-0.83321,9.29218,1.30727
0.1187,-0.39984,9.65372,1.56107
0.1409,-0.13647,9.76385,-0.43576
0.1603,-0.33759,10.40073,0.40463
0.1792,-0.18675,9.39753,0.11493
0.2006,1.63050,10.13496,-1.25699
0.2185,0.00000,9.48851,-0.60575
0.2410,-0.14845,9.93145,-0.16042
0.2610,0.40703,9.44541,-0.25140
0.2782,0.89306,9.62498,-0.11732
0.2982,-0.55547,9.58668,-0.16999
0.3207,-0.65124,9.32570,0.48843
0.3385,0.84039,9.24908,1.18277
0.3589,0.12690,9.03360,1.07742
0.3806,-2.05429,9.93145,1.44135
0.3985,-0.91940,9.85484,1.63050
0.4182,0.70392,9.13416,0.59139
0.4410,-0.84757,10.30735,-0.34717
0.4587,-1.44375,10.23074,0.77575
0.4798,0.25379,10.03441,-0.45012
0.5003,0.99362,10.49650,-0.33520
0.5185,-0.89306,10.36960,-0.89546
0.5396,-0.90264,9.96497,-0.09577
0.5617,1.81007,9.55076,-0.65843
0.5792,0.43815,8.91149,-0.42858
0.5992,-0.79250,10.89395,-0.38548
0.6213,-0.18436,9.26345,0.34956
0.6395,1.68796,8.58108,-0.18915
0.6617,-0.01915,9.00247,0.68716
0.6809,-1.41741,9.86202,0.89785
0.6991,0.18436,9.88117,0.61054
0.7196,0.72547,9.63456,1.57304
0.7414,-1.40544,9.00487,1.26897
0.7595,-0.47885,9.67766,1.03433
0.7792,0.18436,8.98092,1.45093
0.8022,-0.15563,10.12778,0.46688
0.8204,-1.23066,9.72076,-1.09658
0.8390,0.48125,9.62020,-0.06704
0.8609,0.79969,9.71357,-0.99602
0.8803,-0.38787,10.00567,0.45252
0.8993,-0.19154,10.57551,-0.47885
0.9213,1.00560,9.79737,-0.48364
0.9471,0.69913,10.27383,-0.51956
0.9592,-0.22027,10.60185,-0.32562
0.9824,0.31844,9.99131,-0.35196
0.9993,1.03433,10.01286,-0.28252
1.0199,0.27295,10.98733,-0.74941
1.0413,-1.19474,10.42228,1.15883
1.0596,1.11813,10.73593,-0.49083
1.0791,1.09418,9.91709,-0.25858
1.1023,-1.72627,10.26665,1.28094
1.1193,-0.20351,10.15172,0.36632
1.1390,1.39107,8.61699,-0.55308
1.1616,-0.46688,8.79178,0.93856
1.1804,-1.46530,9.80455,0.62012
1.1988,0.64645,9.70639,-0.26337
1.2214,0.27534,8.73910,0.72786
1.2391,-1.14207,9.80455,0.31604
1.2592,-0.71589,9.96976,1.22587
1.2813,0.59139,8.88276,1.98246
1.2992,-0.16999,9.64414,0.91701
1.3189,-1.17798,9.90751,0.73265
1.3411,-0.12690,9.16768,1.82444
1.3598,0.49801,9.57231,1.62571
1.3789,-0.97447,9.85005,1.33840
1.4012,-0.81884,9.52682,1.66881
1.4193,0.50040,8.94262,2.01359
1.4392,-0.11732,9.57710,1.58022
1.4613,-1.34079,9.86920,1.29530
1.4792,-0.32323,8.74389,0.91701
1.4990,0.05507,8.42066,1.67839
1.5208,-1.08940,9.25866,0.32323
1.5390,-0.77335,9.02642,0.72307
1.5590,0.93856,8.77981,0.84039
1.5812,0.01197,10.24031,0.30647
1.5989,-1.43656,10.88198,0.52674
1.6187,0.13887,9.74709,0.95292
1.6443,1.35516,8.79657,-0.16760
1.6594,-0.30647,9.68245,0.50759
1.6791,-0.64885,10.42707,0.69673
1.7007,2.02077,10.57791,-0.79729
1.7190,0.63448,10.05835,0.83560
1.7397,-1.57783,10.69762,0.61293
1.7610,0.01676,10.25947,-0.74941
1.7837,1.01757,8.82769,0.61293
1.7988,-0.47167,9.34007,0.28013
1.8225,-0.60096,9.63696,0.24182
1.8401,1.06306,9.19641,0.33759
1.8587,1.07264,9.56992,0.88828
1.8812,-0.77814,11.34886,-1.05588
1.8990,-0.35196,10.62579,0.66800
1.9193,1.28573,9.88596,0.34478
1.9410,0.28971,10.00807,-0.82363
1.9591,-0.95771,10.89156,0.44773
1.9790,0.33999,10.02962,0.04070
2.0010,1.30009,8.88515,-0.90504
2.0186,-0.38548,10.60664,-0.31604
2.0386,-0.44534,10.81733,-0.31844
2.0659,1.71191,9.81413,-0.84518
2.0797,0.09098,9.62738,-0.05746
2.0993,-1.47727,10.66410,-0.45012
2.1208,1.45093,10.00567,-0.06225
2.1383,1.32164,9.62259,-0.71828
2.1582,-0.87870,10.37918,-0.10295
2.1802,1.18038,11.19323,-0.68237
2.2047,1.43656,9.48851,-0.12690
2.2178,0.00718,10.64255,-0.28731
2.2413,-0.07662,10.88198,-0.33520
2.2579,1.45093,10.05835,-0.37351
2.2781,0.33999,10.11102,-0.61293
2.3001,-0.78053,10.77184,-0.04549
2.3182,0.53871,10.57791,-0.88109
2.3442,1.31446,9.32091,-0.67519
2.3608,-0.51956,10.20201,-0.46928
2.3790,-0.32562,10.62340,-0.46688
2.3982,1.27375,10.02243,-0.56265
2.4208,0.56026,9.92666,-0.97926
2.4385,-0.59857,10.61143,-0.27534
2.4588,0.23703,9.68484,0.56265
2.4809,0.89546,9.34485,0.81884
2.4993,-0.81166,10.00328,0.25140
2.5188,-0.73265,9.67287,0.64167
2.5408,1.28573,8.96177,-0.47167
