time,X_value,Y_value,Z_value
Started:,Oct 20 2018,17:59:11:729, 
0.0234,-1.04869,10.54918,0.29689
0.0399,-0.42618,11.46379,1.51079
0.0597,-1.39347,9.90512,2.49005
0.0841,-1.79571,10.04877,1.49882
0.1000,1.54431,8.25546,0.67997
0.1198,0.20591,10.60424,1.36713
0.1422,-0.06225,10.83409,1.16362
0.1605,1.31685,10.49650,2.32963
0.1798,0.86673,10.71917,2.68877
0.2024,0.46449,9.38795,1.94176
0.2257,-0.51237,11.22197,2.46371
0.2452,0.10535,9.05515,-0.04549
0.2622,1.23066,8.40151,0.83560
0.2796,-0.06465,8.56911,1.68796
0.2998,0.65364,10.72635,2.16442
0.3219,0.99841,11.64815,2.03513
0.3412,-1.25939,6.87636,0.52435
0.3642,0.07662,8.97374,0.00479
0.3823,-0.54589,10.52763,0.59617
0.4002,-1.10615,10.29299,1.96091
0.4204,0.39266,9.95779,1.94415
0.4423,0.39506,8.83009,1.79810
0.4606,-0.01915,10.75508,1.59459
0.4803,-0.28731,10.86282,1.25699
0.5054,-1.15165,11.42787,1.98725
0.5205,0.36154,11.16211,1.45332
0.5402,-0.32562,7.73351,2.35118
0.5622,0.12690,7.82210,1.89866
0.5807,1.35995,9.28979,0.28731
0.6002,0.60575,8.42066,1.97288
0.6225,0.87630,6.67284,2.18358
0.6468,1.70472,8.31771,-0.79969
0.6632,1.61853,10.24989,3.53634
0.6831,0.14845,9.68724,2.06865
0.7001,2.04232,11.45660,1.64247
0.7205,-0.29689,10.18764,3.32565
0.7434,-1.90105,9.75428,2.73187
0.7611,-0.90743,10.58988,1.10855
0.7924,-0.56744,12.06954,0.63209
0.8048,-0.93856,8.81572,2.90186
0.8216,-0.97447,11.66012,1.14925
0.8412,0.39266,10.24510,3.20115
0.8641,1.09658,12.97936,-0.70152
0.8819,-1.90824,8.89473,3.47649
0.9021,-0.56744,11.03282,-0.42858
0.9304,0.50280,10.27623,2.66004
0.9465,0.11253,11.23633,0.92419
0.9620,-2.23146,11.27225,0.21070
0.9838,0.28492,9.58668,-0.77814
1.0024,0.71110,6.42623,3.78295
1.0222,-0.25140,11.21239,-0.63209
1.0442,-1.13967,10.32651,1.44135
1.0683,1.05827,8.45897,1.44854
1.0829,0.92658,7.35282,3.23467
1.1070,-0.21788,8.56672,0.73983
