time,X_value,Y_value,Z_value
Started:,Oct 20 2018,18:17:58:151, 
0.0233,-0.45252,9.43105,1.00799
0.0423,0.04549,9.82371,0.56744
0.0600,-0.33041,10.42946,1.55628
0.0803,-0.15084,9.46696,0.85236
0.1032,-0.38548,9.18923,3.52916
0.1203,0.90264,9.00008,-0.76377
0.1404,1.34558,8.86600,-0.62012
0.1623,0.68955,10.97296,-0.96729
0.1800,0.35435,10.11102,1.48924
0.2004,0.96968,8.90431,0.59378
0.2221,0.59857,8.88515,1.06545
0.2399,-0.50040,8.44461,0.92898
0.2603,0.16760,10.53960,0.68716
0.2827,0.31604,9.58668,1.49642
0.2997,-0.00239,9.55555,0.66800
0.3200,0.45970,9.93863,0.93856
0.3425,-0.17957,9.24669,1.91542
0.3609,-0.16999,9.45020,0.62012
0.3803,0.18436,9.60822,1.70951
0.4022,-0.00718,8.59545,0.78772
0.4206,0.24422,9.86202,0.24900
0.4414,0.17718,9.16528,-1.16122
0.4637,-0.27055,10.74790,0.14845
0.4805,0.08380,11.30337,-0.41660
0.4999,0.04070,10.33130,1.39826
0.5228,0.08619,10.06074,0.62969
0.5405,-0.35196,10.98254,1.04390
0.5638,-0.24422,11.00888,-0.03113
0.5874,-0.50040,10.64016,0.90982
0.6037,0.49561,9.35443,1.42220
0.6210,0.43336,9.05754,2.70792
0.6461,-0.23224,9.83568,1.32882
0.6606,0.07662,9.78540,1.01996
0.6804,0.44294,9.57231,0.98165
0.7026,-0.21788,11.10944,1.41023
0.7209,0.23943,9.53400,1.09179
0.7412,-0.35675,11.30816,0.39984
0.7710,-0.03352,8.80135,0.18196
0.7833,0.22746,8.87318,0.31365
0.8001,0.11971,10.05595,0.08141
0.8232,0.00000,9.78301,-0.45252
0.8412,0.08859,8.74150,0.12690
0.8628,0.49561,9.57710,-0.01915
0.9227,-0.03113,9.28500,0.12450
0.9229,-0.24422,9.87638,1.74303
0.9389,-0.39506,9.58907,1.41502
0.9451,-0.55308,10.75987,0.15563
0.9618,-0.63448,10.82212,1.29770
0.9828,-0.49322,9.67526,0.74223
1.0036,-0.14366,9.93863,0.69195
1.0300,-0.81645,10.73832,1.81486
1.0449,-0.41182,11.45421,2.03274
1.0631,0.43097,9.52203,0.79729
1.0809,0.25858,8.54277,1.41502
1.1012,-0.91940,10.37918,0.43097
1.1237,0.24900,10.13736,0.46928
1.1424,0.32323,9.36401,2.05429
1.1782,-0.02873,10.75508,0.41421
1.1987,0.60096,9.26345,2.07105
1.2022,-0.89067,9.31852,1.15643
1.2218,-0.60575,8.93304,1.35516
1.2441,-0.58660,10.39834,3.22988
1.2645,-1.02475,10.73593,0.43576
1.2824,0.10535,9.75188,-1.61135
1.3047,0.18915,8.56193,-0.13169
1.3309,-0.28013,10.10623,-1.64966
1.3418,0.39266,10.27144,1.00081
1.3637,0.39027,10.14454,0.23464
1.3818,0.97447,9.10064,3.71113
1.4023,0.62012,9.22275,2.61455
1.4242,0.25379,9.61541,3.39029
1.4507,0.17718,9.91948,2.76778
1.4620,-0.39506,10.32890,2.13809
1.4840,-0.43576,10.52044,1.72388
1.5035,-0.44294,9.73273,1.71909
1.5216,-0.67040,9.91230,1.97528
1.5442,-0.74223,9.92188,1.87472
1.5618,-0.48364,9.38556,2.07584
1.5836,0.07183,9.14374,1.72627
1.6217,0.67040,8.50686,2.32005
1.6237,1.06545,8.00646,1.37192
1.6438,1.16841,8.49968,1.82204
1.6641,1.09897,9.86202,0.90264
1.6818,-0.51716,8.72234,2.56906
1.7039,-1.45332,9.31612,0.95053
1.7336,0.22506,10.56115,2.51638
1.7470,0.05986,9.72315,-0.70392
1.7656,-1.09179,9.81653,-1.90105
1.7838,-1.90345,10.80776,-4.07506
1.8015,1.37671,8.88755,-0.35675
1.8229,-0.91940,9.68724,-0.84039
1.8464,0.09577,8.60742,0.79250
1.8814,1.18038,8.83248,-0.17478
1.8980,0.26576,8.58826,-0.53392
1.9056,0.32562,11.40154,0.99123
1.9230,0.43336,8.91867,3.79014
1.9429,-1.29051,11.02085,0.28971
1.9649,0.54589,8.90670,1.87232
1.9817,0.46928,10.19482,-0.09577
2.0135,0.06225,9.01684,2.93059
2.0326,0.40463,10.97296,0.67997
2.0426,0.67279,10.14933,2.12133
2.0613,0.71828,10.60185,0.56265
2.0845,0.60336,9.81413,1.53952
2.1016,0.52435,10.78621,1.54910
2.1214,0.88109,9.89793,3.03833
2.1450,0.53632,10.29299,2.03513
2.1630,0.55787,9.94582,1.93697
2.1820,0.56026,8.87079,0.85715
2.2043,-0.11493,10.76705,0.67758
2.2224,0.22985,9.09824,1.23066
2.2424,0.71110,9.28979,1.00081
2.2641,0.69913,10.28341,0.73025
2.2818,0.72547,9.40711,0.75420
2.3026,0.92658,9.61780,1.99204
2.3243,0.30168,10.67847,2.17879
2.3442,-0.19154,10.72875,2.34878
2.3641,-0.45970,10.91071,1.60656
2.3849,-0.20830,10.16370,1.94415
2.4042,-0.43815,10.58270,1.71909
2.4421,-0.34238,10.43186,2.06386
2.4553,-0.15084,8.70558,2.17879
2.4650,0.29450,9.63696,-0.08859
2.4827,0.18915,9.17486,0.55308
2.5051,0.01915,8.60263,0.40224
2.5231,0.23943,10.34566,-0.39506
2.5430,0.67279,9.56992,0.87870
2.5656,0.12450,8.49489,-0.31604
2.5847,1.60177,8.96177,1.36234
2.6026,0.76617,10.75748,2.96651
2.6250,-0.27295,13.91792,2.43498
2.6446,-0.38787,11.77504,1.53952
2.6647,0.38548,5.79893,0.35435
2.6850,0.74462,6.15089,1.24981
2.7131,0.07183,11.08789,4.65208
2.7297,-0.84039,9.19402,2.21710
2.7447,1.37192,7.95857,0.32562
2.7625,-2.59300,7.39352,3.49085
2.7833,-0.84039,11.42069,2.63849
2.8062,1.40305,11.19323,-0.34478
2.8243,-3.21312,4.74306,4.00323
2.8469,-1.06306,4.33364,2.07105
2.8658,-0.25619,13.64497,-0.33520
2.8827,1.25939,9.75428,2.16682
2.9031,-0.55787,10.70720,0.76856
2.9250,1.18517,8.19081,1.36713
2.9431,0.91701,9.88117,-0.30407
2.9654,1.35755,11.12380,1.69515
2.9865,0.59857,10.19243,3.09580
3.0156,-0.64645,9.51245,2.66722
3.0249,-0.00718,10.48213,2.05668
3.0476,0.45731,9.75188,2.92820
3.0644,-0.74701,11.31055,1.16362
3.0843,-0.36872,11.05916,0.31126
3.1046,0.45491,10.86761,0.00479
3.1230,-0.25379,10.38397,1.57304
3.1517,0.12690,9.01444,0.06704
