time,X_value,Y_value,Z_value
Started:,Oct 20 2018,18:34:21:025, 
0.0209,-0.03799,-0.01369,0.01429
0.0424,0.01699,0.01075,-0.02420
0.0602,0.06524,0.02236,-0.01137
0.0850,-0.00073,0.00647,-0.00771
0.1017,-0.01722,0.01319,-0.02909
0.1197,0.02187,0.01380,-0.01259
0.1420,-0.03433,0.00586,-0.00710
0.1626,-0.06854,0.00647,-0.01992
0.1797,-0.03372,0.00220,0.00024
0.1998,-0.00623,0.02236,-0.00954
0.2256,-0.03188,0.03091,-0.02970
0.2399,-0.03433,0.01014,-0.00465
0.2603,0.01393,0.01258,0.00390
0.2828,-0.00745,0.02480,-0.01626
0.3012,0.02065,0.02419,-0.01198
0.3209,0.05303,0.01991,0.00757
0.3447,0.00355,0.03091,-0.02603
0.3671,0.01027,0.02541,-0.01015
0.3836,0.02248,0.00647,0.03139
0.4029,-0.00195,0.00769,0.01367
0.4199,-0.04044,-0.02468,0.04300
0.4408,0.03226,-0.00025,0.01490
0.4635,0.05303,0.02969,-0.03214
0.4809,-0.00317,0.02358,-0.02970
0.5040,0.02187,0.02602,-0.01748
0.5225,0.05364,0.03763,-0.01687
0.5405,-0.02822,0.01014,-0.01870
0.5618,-0.00867,0.01380,-0.00832
0.5838,0.03714,0.02358,0.00634
0.6020,-0.03249,0.00281,0.01917
0.6230,-0.05387,0.00097,0.01429
0.6631,0.03531,0.01869,0.02833
0.6751,-0.00928,0.01991,0.00940
0.6826,0.02371,0.02480,-0.01198
0.7058,0.06647,0.04618,-0.02603
0.7221,-0.04960,0.03091,-0.04436
0.7438,-0.03982,-0.00452,0.01856
0.7656,0.00538,-0.01307,0.06193
0.7997,-0.00439,0.01625,0.00207
0.8178,-0.02700,0.00220,0.00268
0.8266,0.03531,0.03152,-0.01198
0.8434,0.01149,0.02785,-0.02053
0.8636,-0.01295,0.01686,-0.01259
0.8857,0.00904,0.02663,-0.02603
0.9032,0.03287,0.02724,-0.00893
0.9429,-0.04166,0.01258,-0.01809
0.9676,0.01760,0.00281,0.01001
0.9678,0.06341,0.00281,0.04116
0.9850,-0.01295,0.00708,-0.00099
1.0069,0.00843,-0.00330,0.01917
1.0253,-0.00012,-0.00636,0.02833
1.0453,-0.05021,-0.00330,0.00573
1.0809,0.01943,0.00525,0.00451
1.0981,-0.00745,-0.00636,0.02467
1.1068,-0.05082,0.00647,-0.00221
1.1264,-0.01478,0.01197,-0.00832
1.1441,-0.00806,0.00953,0.00024
1.1658,-0.06121,0.00036,-0.00526
1.1880,-0.02150,0.00159,0.00695
1.2239,0.02309,0.01808,0.00879
1.2389,-0.02639,0.01502,-0.00343
1.2465,-0.03616,0.00342,0.00207
1.2645,0.03714,0.01258,0.01429
1.2844,0.00599,0.01197,-0.00282
1.3067,-0.00195,0.01502,-0.01687
1.3244,0.04325,0.00403,0.01001
1.3615,-0.02761,-0.01552,-0.00038
1.3769,0.04447,0.01441,-0.01381
1.3863,0.05303,0.02052,-0.02848
1.4045,-0.00012,0.00892,-0.01748
1.4265,0.03531,0.00953,0.00879
1.4454,0.05181,0.02236,0.00146
1.4670,-0.03127,0.01564,-0.02481
1.5179,-0.01661,0.01319,-0.03031
1.5181,0.00782,0.01380,-0.01504
1.5335,-0.02761,-0.00269,0.00268
1.5482,-0.05143,-0.02224,0.00695
1.5660,0.02981,-0.00330,0.02711
1.5865,-0.01478,0.00953,-0.00282
1.6087,0.00294,0.02358,-0.01809
1.6355,-0.00867,0.03518,-0.04191
1.6530,-0.06487,0.00220,0.00085
1.6692,0.00660,0.01441,0.00573
1.6862,-0.01417,0.00281,0.01001
1.7061,-0.02516,-0.01796,0.04177
1.7301,0.01821,-0.00513,0.03383
1.7462,0.05242,0.01380,0.00940
1.7769,-0.00745,-0.00941,0.02467
1.7890,0.03165,0.00647,0.01734
1.8057,0.06891,0.02113,0.00085
1.8271,0.01821,0.01380,0.00085
1.8482,0.03592,0.02602,-0.01137
1.8672,0.04142,0.02113,-0.00160
1.8864,-0.01783,0.00097,0.00695
1.9239,-0.02761,0.00220,0.00146
1.9271,0.01088,0.00708,0.01123
1.9470,-0.02761,0.00525,-0.00221
1.9692,-0.05326,-0.00880,0.00757
1.9860,0.02126,0.03579,-0.03336
2.0074,-0.01783,0.02541,-0.02848
2.0287,0.01760,0.01441,0.01673
2.0553,0.02248,0.03396,-0.01992
2.0701,-0.01234,0.00525,0.01062
2.0880,0.00782,-0.00636,0.03750
2.1061,0.01515,0.01197,0.00207
2.1264,-0.00562,0.00220,-0.00343
2.1481,0.08357,0.02663,0.00390
2.1665,0.04875,0.02907,-0.01687
2.2055,-0.01050,0.01686,-0.02848
2.2103,0.02432,0.01319,-0.00038
2.2257,0.03348,0.02174,-0.00526
2.2460,-0.01111,0.01869,-0.03275
2.2680,0.02126,0.01258,0.00329
2.2863,0.01454,0.02358,-0.01626
2.3058,-0.04960,-0.00269,-0.00648
2.3394,0.01088,0.00525,0.00818
2.3653,0.07196,0.04435,-0.01931
2.3671,0.00110,-0.00086,0.00695
2.3885,-0.00562,-0.01002,0.02406
2.4057,0.02309,0.00769,0.00634
2.4262,0.00171,-0.00758,0.01917
2.4482,0.02493,0.01136,0.00695
2.4739,-0.01234,0.00831,0.00512
2.4861,-0.00867,-0.00208,0.00818
2.5082,0.00232,-0.00391,0.04055
2.5259,-0.06854,0.00159,0.00146
2.5460,-0.04288,-0.00147,-0.00771
2.5681,0.00599,0.00281,0.00940
2.5869,-0.01172,0.00831,-0.00221
2.6202,0.01210,-0.00636,0.01856
2.6393,0.04570,0.01197,0.00757
2.6482,0.00599,0.00708,-0.00160
2.6702,0.05608,0.02480,-0.00710
2.6894,0.04997,0.02480,-0.00221
2.7076,0.02004,0.00586,0.00757
2.7279,0.02676,0.01380,0.00268
2.7591,-0.02455,0.00525,-0.01931
2.7693,0.00782,0.00647,0.00146
2.7880,0.00232,0.01930,-0.02420
2.8100,-0.02028,0.01564,-0.02664
2.8281,0.01515,0.00953,0.00390
2.8479,0.00660,0.01808,-0.01076
2.8701,-0.02639,0.01197,-0.01076
2.9078,0.01088,0.01014,0.00757
2.9204,0.00049,0.00525,0.01062
2.9323,-0.00928,0.00403,-0.00526
2.9479,0.01821,-0.00147,0.02345
2.9679,-0.02761,0.00403,-0.01381
2.9903,-0.02394,0.01808,-0.03642
3.0078,-0.00073,0.00403,-0.00160
3.0374,-0.04044,0.00708,0.00390
3.0525,-0.05632,-0.00269,0.00207
3.0678,-0.00439,-0.00513,0.01917
3.0878,-0.01111,0.00708,-0.00160
3.1100,0.05058,0.00831,0.00940
3.1277,0.04142,0.02663,-0.02053
3.1498,0.02798,0.00953,-0.01015
3.1845,0.04081,0.01502,0.00757
3.2004,0.03287,0.00953,-0.00160
3.2078,0.00904,-0.00452,0.01429
3.2302,0.01088,0.00036,0.02100
3.2476,0.01027,0.02052,-0.00587
3.2680,-0.02516,0.00220,0.00024
3.2900,-0.00195,0.00159,0.01551
3.3165,-0.02028,0.01869,-0.01931
3.3378,-0.01172,0.01197,-0.01565
3.3503,-0.00317,0.00831,-0.00465
3.3675,-0.02333,0.01258,-0.02176
3.3881,-0.02333,0.00647,-0.01259
3.4112,-0.03311,0.01136,-0.01626
3.4277,-0.04777,0.01380,-0.03092
3.4700,0.02065,0.01930,-0.00648
3.4865,-0.00806,-0.00452,0.00940
3.4907,0.02493,0.00525,0.02345
3.5105,0.01699,0.01380,-0.00282
3.5323,-0.02455,-0.00147,-0.00343
3.5499,0.03714,-0.00208,0.01123
3.5707,0.01699,0.01136,0.00085
3.6061,0.00660,0.00708,-0.01870
3.6103,0.01637,0.00097,-0.00099
3.6298,0.00599,0.01441,-0.02115
3.6519,-0.00134,0.01258,-0.01931
3.6695,0.01699,0.00831,0.00451
3.6897,-0.00867,0.02480,-0.02481
3.7119,-0.01417,0.00097,0.01306
3.7574,0.01271,-0.01369,0.04849
3.7576,0.01271,0.01319,0.00573
3.7731,0.04875,0.02969,-0.01137
3.7898,-0.03677,-0.00391,0.00512
3.8099,-0.03005,-0.00269,0.01184
3.8314,-0.02822,0.00647,0.00329
3.8496,-0.01172,-0.00086,0.01429
3.8771,0.01576,0.01319,0.01062
3.8916,-0.00623,0.01564,-0.02053
3.9094,-0.02333,0.01014,-0.02542
3.9298,0.03287,0.00708,0.00573
3.9515,-0.00195,0.00097,0.01001
3.9694,-0.00134,-0.00513,0.00879
3.9894,0.02248,0.00036,0.03139
4.0189,-0.01050,-0.00452,0.01856
4.0354,0.03409,0.01808,-0.00587
4.0502,0.02676,0.00892,0.00940
4.0718,-0.03249,-0.00452,0.00024
4.0895,0.00538,0.00036,0.01490
4.1095,-0.00195,0.00892,-0.00648
4.1319,0.03409,0.03396,-0.02298
4.1587,0.04570,0.01136,0.01306
4.1703,0.01088,0.00953,-0.00526
4.1913,0.01760,0.01258,-0.00710
4.2094,0.00599,-0.01491,0.03689
4.2296,0.02309,-0.00513,0.01429
4.2519,0.01332,-0.00758,0.02650
4.2698,-0.05143,-0.00513,0.00879
4.3078,-0.01967,0.01380,-0.00710
4.3222,-0.04288,0.01075,-0.01931
4.3295,-0.04899,0.00769,-0.00587
4.3501,-0.01111,0.00647,0.00818
4.3716,-0.04838,0.01136,-0.01137
4.3896,-0.02394,0.01686,-0.00771
4.4125,0.01088,0.01808,-0.00893
4.4426,-0.02639,0.00831,-0.00343
4.4522,0.01760,0.00586,0.00940
4.4707,0.03531,0.00769,0.01123
4.4916,0.04142,0.01686,-0.01381
4.5096,0.08174,0.02480,-0.00160
4.5297,0.03653,0.00281,0.01978
4.5518,0.03531,-0.00391,0.02039
4.5796,0.07624,-0.00147,0.04300
4.5928,0.00843,-0.01002,0.01429
4.6110,0.02004,0.01686,-0.01809
4.6289,-0.00073,0.01075,-0.03031
4.6495,0.00232,0.01380,-0.02542
4.6724,-0.02761,0.00464,-0.02481
4.6882,-0.04777,0.00342,-0.02420
4.7208,-0.00745,0.01075,-0.00710
4.7357,-0.03188,-0.00452,0.00634
4.7504,-0.06487,-0.01369,0.02406
4.7704,-0.01295,-0.00574,0.03200
4.7925,-0.02883,-0.01857,0.04544
4.8103,-0.00745,-0.00574,0.01978
4.8307,0.02737,0.01014,-0.00099
4.8699,-0.00073,-0.00025,-0.00465
4.8856,0.02554,0.02236,-0.01687
4.8919,0.00782,-0.00574,0.01306
4.9129,-0.03249,-0.02346,0.03444
4.9300,-0.01906,-0.01613,0.03139
