time,X_value,Y_value,Z_value
Started:,Oct 04 2018,00:38:38:762, 
0.0230,-0.11007,-0.07203,0.09727
0.0410,-0.06487,-0.01217,0.12232
0.0619,0.10067,-0.10257,0.03802
0.0874,-0.03799,0.11978,0.00503
0.1029,-0.01722,0.10390,0.02275
0.1204,-0.03188,-0.06409,0.04291
0.1426,0.02004,-0.13128,0.01664
0.1605,-0.21453,-0.04882,0.08261
0.1823,-0.19254,-0.07508,0.09422
0.2035,-0.06731,-0.02499,0.03069
0.2239,0.13672,0.07030,-0.00046
0.2421,0.07624,0.06419,0.03619
0.2644,0.04631,-0.01339,-0.01574
0.2824,0.08113,-0.03049,-0.04261
0.3030,-0.01234,0.08679,-0.00535
0.3256,-0.03921,0.05747,0.01908
0.3434,0.05364,-0.00850,0.00320
0.3683,-0.01539,-0.03232,0.01114
0.3879,0.02126,-0.05432,0.01786
0.4043,0.01760,-0.06409,0.01175
0.4241,0.01943,-0.03416,0.01420
0.4499,0.02920,-0.03293,-0.00535
0.4650,0.00721,-0.00850,-0.00046
0.4871,0.04814,0.01899,-0.00108
0.5116,-0.01600,-0.06836,0.00015
0.5251,0.01454,-0.04271,0.00931
0.5443,0.06647,-0.02499,-0.02490
0.5672,0.00294,0.00372,-0.01696
0.5855,0.03653,-0.03293,-0.01696
0.6052,0.04386,-0.06836,-0.01818
0.6276,0.00355,0.03182,-0.01574
0.6515,0.06158,-0.01827,-0.01207
0.6668,-0.05449,-0.07508,0.02153
0.6872,0.07746,-0.00117,-0.00413
0.7051,-0.00562,0.05747,-0.02551
0.7254,-0.03982,-0.13495,0.02947
0.7474,0.06341,0.04342,-0.00841
0.7653,-0.07709,0.01716,0.00625
0.7913,0.06036,-0.05248,-0.00657
0.8071,-0.01478,-0.05676,-0.01329
0.8249,0.00171,-0.06836,0.00137
0.8453,0.02920,0.04953,-0.00780
0.8675,-0.02028,0.02876,0.00320
0.8854,0.00904,0.01410,0.00198
0.9052,-0.00684,-0.02011,0.00442
0.9383,0.03042,-0.05126,0.00076
0.9482,-0.03249,0.02021,0.00442
0.9710,-0.00256,0.03976,0.01847
0.9892,-0.02272,0.06175,0.01236
1.0069,-0.00256,0.02326,0.00442
1.0271,-0.01906,0.00433,0.00809
1.0492,0.01088,0.02876,0.00931
1.0729,-0.03555,-0.07081,0.00870
1.0878,0.00904,-0.04027,0.00442
1.1105,0.00782,0.00311,0.00259
1.1271,0.01027,0.01471,0.00442
1.1487,0.01515,0.09107,-0.00169
1.1690,-0.00562,0.02571,0.00198
1.1888,0.05547,-0.02438,-0.01818
1.2138,0.01454,0.00188,-0.01574
1.2297,0.03104,0.08191,-0.01635
1.2475,0.01882,0.09168,-0.00780
1.2670,0.05425,0.08252,-0.02612
1.2896,0.00294,0.04587,-0.00230
