time,X_value,Y_value,Z_value
Started:,Oct 04 2018,21:18:38:215, 
0.0179,0.01648,-0.04128,0.01380
0.0370,0.03542,-0.03884,0.01868
0.0593,0.01465,-0.02784,0.00280
0.0789,0.01771,-0.03579,0.01074
0.0970,0.03481,-0.02601,0.01441
0.1202,-0.02383,-0.03212,-0.00697
0.1419,-0.00306,-0.03517,-0.00331
0.1572,-0.04521,-0.02907,-0.01491
0.1797,-0.00612,-0.01441,-0.01430
0.1978,-0.00490,-0.02784,0.00525
0.2177,-0.03422,-0.02662,0.00830
0.2402,-0.01772,-0.02479,0.02479
0.2578,-0.02994,-0.02784,-0.00208
0.2770,-0.04582,-0.02968,-0.00942
0.3005,-0.02261,-0.02357,-0.01736
0.3171,-0.03727,-0.02723,-0.02774
0.3377,-0.01467,-0.02601,-0.00208
0.3603,-0.01406,-0.03212,0.00280
0.3775,0.02565,-0.02907,0.02540
0.3976,-0.01589,-0.02846,0.01197
0.4196,0.00549,-0.04067,0.03457
0.4374,0.03237,-0.02784,0.02663
0.4575,0.00549,-0.02479,0.01258
0.4798,0.02992,-0.02662,0.01624
0.4977,-0.02261,-0.02051,0.00219
0.5181,0.00671,-0.02784,0.02540
0.5403,0.00610,-0.03395,0.01746
0.5588,-0.00184,-0.01807,-0.02041
0.5773,0.01526,-0.01929,-0.01125
0.5998,-0.00245,-0.00524,-0.02285
0.6175,-0.00612,-0.01135,-0.00942
0.6385,0.01648,-0.01074,-0.00025
0.6609,-0.03972,-0.01441,-0.03141
0.6775,0.02870,-0.00830,-0.01675
0.7032,-0.02567,-0.00341,-0.03568
0.7227,-0.01528,-0.01318,-0.03385
0.7372,0.00610,-0.01868,-0.01369
0.7573,-0.00184,-0.02418,-0.00636
0.7798,0.02015,-0.00585,-0.00208
0.7975,-0.03483,-0.02051,-0.00636
0.8173,0.05252,-0.00769,-0.00086
0.8398,0.03786,-0.01624,-0.01858
0.8570,0.06657,-0.02174,0.00463
0.8774,0.04886,-0.01746,-0.00331
0.8997,0.03970,-0.01013,-0.01308
0.9174,0.06719,-0.01563,-0.01125
0.9373,0.07757,-0.00524,-0.00514
0.9599,-0.00306,-0.01318,-0.01369
0.9780,0.03481,-0.00585,0.00036
0.9974,0.00976,-0.01318,-0.00514
1.0201,-0.00184,-0.03640,0.00708
1.0372,0.02809,-0.03640,0.02601
1.0577,-0.00734,-0.03090,0.00341
1.0796,-0.01956,-0.04556,0.02601
1.0975,-0.00123,-0.04128,0.03396
1.1172,-0.06476,-0.03029,0.00036
1.1397,-0.00856,-0.02968,-0.01186
1.1572,-0.02078,-0.00830,-0.04485
1.1773,0.02381,0.00392,-0.01919
1.2002,-0.04644,-0.01196,-0.02224
1.2187,-0.07148,-0.02846,-0.01980
1.2374,-0.01284,-0.01807,0.00463
1.2612,-0.03300,-0.02296,-0.01369
1.2769,-0.03300,-0.02357,-0.00514
1.2976,-0.05438,-0.03884,0.00769
1.3197,-0.01406,-0.01441,-0.02957
1.3372,0.03237,-0.01074,-0.02713
1.3574,-0.00367,-0.02723,0.00158
1.3795,0.00854,-0.00830,-0.01491
1.3976,0.00060,-0.00524,-0.03690
1.4172,0.01954,-0.02174,-0.00270
1.4397,0.00976,-0.01807,-0.01186
1.4573,-0.02628,-0.03579,-0.01552
1.4774,-0.00673,-0.02723,-0.01369
1.5003,-0.00245,-0.01746,-0.01247
1.5176,-0.00734,-0.01929,-0.01247
1.5444,-0.01101,-0.01746,-0.01613
1.5610,-0.02200,-0.00708,-0.02102
